iter	Passed	Remaining
0	4	2040
1	7	1944
2	11	1886
3	14	1849
4	18	1853
5	22	1855
6	27	1936
7	31	1927
8	34	1905
9	38	1892
10	42	1887
11	46	1901
12	50	1900
13	54	1890
14	58	1878
15	61	1872
16	66	1877
17	70	1886
18	74	1874
19	77	1866
20	81	1861
21	85	1852
22	89	1846
23	92	1835
24	96	1827
25	99	1821
26	103	1811
27	106	1803
28	110	1795
29	114	1788
30	120	1825
31	124	1823
32	128	1814
33	132	1813
34	137	1833
35	144	1858
36	152	1909
37	160	1952
38	199	2359
39	208	2395
40	218	2449
41	230	2512
42	237	2528
43	253	2628
44	262	2654
45	269	2660
46	276	2666
47	284	2677
48	290	2669
49	301	2714
50	311	2744
51	321	2768
52	330	2784
53	334	2764
54	339	2743
55	346	2747
56	351	2734
57	356	2714
58	361	2704
59	370	2713
60	383	2757
61	387	2738
62	394	2738
63	399	2718
64	403	2700
65	409	2691
66	415	2683
67	420	2672
68	429	2681
69	433	2660
70	436	2639
71	446	2652
72	452	2646
73	458	2640
74	462	2622
75	467	2605
76	473	2600
77	478	2588
78	484	2579
79	492	2584
80	497	2572
81	504	2573
82	516	2592
83	524	2598
84	530	2590
85	539	2595
86	549	2607
87	556	2603
88	562	2596
89	566	2579
90	571	2569
91	575	2553
92	579	2537
93	583	2521
94	588	2507
95	592	2491
96	596	2476
97	600	2464
98	605	2451
99	609	2437
100	613	2422
101	617	2410
102	622	2399
103	630	2400
104	636	2393
105	641	2386
106	646	2372
107	652	2367
108	656	2354
109	660	2341
110	664	2329
111	669	2319
112	673	2307
113	677	2295
114	682	2284
115	686	2272
116	690	2261
117	694	2248
118	699	2239
119	703	2228
120	710	2225
121	714	2214
122	719	2204
123	723	2192
124	727	2183
125	732	2174
126	736	2164
127	740	2153
128	744	2142
129	750	2136
130	754	2126
131	758	2114
132	763	2106
133	767	2095
134	771	2085
135	774	2073
136	781	2070
137	785	2059
138	788	2049
139	795	2044
140	799	2034
141	803	2025
142	807	2014
143	811	2006
144	816	1999
145	820	1989
146	824	1980
147	830	1976
148	834	1966
149	838	1956
150	843	1949
151	849	1945
152	856	1942
153	865	1944
154	870	1937
155	875	1931
156	886	1937
157	893	1933
158	900	1930
159	904	1922
160	914	1924
161	919	1919
162	929	1921
163	935	1915
164	940	1910
165	962	1937
166	969	1933
167	978	1933
168	983	1926
169	990	1922
170	995	1914
171	1000	1907
172	1007	1904
173	1013	1899
174	1020	1895
175	1025	1887
176	1029	1878
177	1033	1870
178	1041	1867
179	1046	1860
180	1050	1851
181	1057	1848
182	1061	1838
183	1065	1829
184	1070	1822
185	1074	1814
186	1078	1805
187	1082	1796
188	1088	1790
189	1091	1781
190	1095	1772
191	1099	1764
192	1105	1758
193	1109	1749
194	1113	1740
195	1118	1734
196	1127	1734
197	1137	1735
198	1154	1746
199	1161	1742
200	1193	1776
201	1204	1776
202	1219	1783
203	1225	1778
204	1250	1799
205	1258	1795
206	1269	1796
207	1287	1807
208	1301	1811
209	1332	1839
210	1338	1833
211	1343	1825
212	1357	1828
213	1365	1825
214	1371	1818
215	1382	1818
216	1392	1815
217	1417	1833
218	1425	1828
219	1433	1824
220	1441	1820
221	1458	1826
222	1468	1823
223	1476	1818
224	1484	1814
225	1496	1814
226	1504	1809
227	1515	1807
228	1519	1798
229	1545	1814
230	1556	1812
231	1566	1809
232	1573	1803
233	1585	1801
234	1598	1802
235	1605	1796
236	1618	1795
237	1625	1789
238	1630	1780
239	1634	1771
240	1665	1789
241	1670	1781
242	1677	1773
243	1682	1764
244	1687	1756
245	1697	1752
246	1726	1768
247	1733	1761
248	1744	1758
249	1763	1763
250	1768	1754
251	1776	1748
252	1793	1750
253	1801	1745
254	1806	1735
255	1811	1726
256	1819	1720
257	1824	1711
258	1922	1789
259	1952	1801
260	1965	1799
261	1971	1790
262	1983	1787
263	2083	1862
264	2088	1851
265	2093	1841
266	2104	1836
267	2109	1825
268	2117	1817
269	2147	1829
270	2152	1819
271	2157	1808
272	2165	1800
273	2170	1790
274	2175	1780
275	2211	1795
276	2217	1785
277	2223	1775
278	2231	1767
279	2237	1757
280	2243	1748
281	2250	1739
282	2256	1729
283	2264	1722
284	2270	1712
285	2278	1705
286	2283	1694
287	2287	1683
288	2294	1674
289	2299	1665
290	2309	1658
291	2318	1651
292	2325	1643
293	2329	1632
294	2333	1621
295	2341	1614
296	2347	1604
297	2355	1596
298	2363	1588
299	2368	1578
