iter	Logloss
0	0.6732696468
1	0.6512098615
2	0.6326474903
3	0.6166126911
4	0.5992775781
5	0.5880828983
6	0.5681741047
7	0.556317425
8	0.5463430148
9	0.5337554154
10	0.5241181626
11	0.5163802442
12	0.5090197142
13	0.5028615979
14	0.4955349874
15	0.4885649495
16	0.4799752466
17	0.474948193
18	0.4669872741
19	0.4606079041
20	0.4557551484
21	0.4516700986
22	0.4456312053
23	0.4410138981
24	0.4350964715
25	0.4319003703
26	0.4290285437
27	0.4252315331
28	0.4217563811
29	0.4181337812
30	0.4145981718
31	0.411978182
32	0.4098999713
33	0.4073013626
34	0.4036638357
35	0.4011027035
36	0.3988355487
37	0.396660713
38	0.3933120148
39	0.3912188807
40	0.3891190919
41	0.3856433855
42	0.3836522848
43	0.3821522025
44	0.3796243095
45	0.3782625937
46	0.3768208773
47	0.3754492269
48	0.3739425253
49	0.3726151793
50	0.3714463702
51	0.3701621837
52	0.3684253397
53	0.3669330273
54	0.3659822368
55	0.3647220887
56	0.3633442823
57	0.362317247
58	0.3606959299
59	0.3595351044
60	0.358423762
61	0.3564285364
62	0.3554383286
63	0.3547539439
64	0.3541797059
65	0.3533496629
66	0.3525044979
67	0.3517621893
68	0.3512025825
69	0.3503069663
70	0.3494530871
71	0.3489145293
72	0.3480672151
73	0.3471085506
74	0.3463440819
75	0.3453631313
76	0.3449112508
77	0.344461917
78	0.3438737319
79	0.3434516477
80	0.3430293568
81	0.342163455
82	0.3412524505
83	0.3403241951
84	0.3396428866
85	0.3388939762
86	0.3383448396
87	0.3376258442
88	0.3368689006
89	0.3358534395
90	0.3350252919
91	0.3337509495
92	0.3329809496
93	0.3325220079
94	0.3318830431
95	0.3315351238
96	0.3311989139
97	0.3306233608
98	0.3302021078
99	0.3295196199
100	0.3287113517
101	0.3279568983
102	0.3268440055
103	0.3264260881
104	0.3259752304
105	0.3251707896
106	0.3248763125
107	0.3241695182
108	0.3236972989
109	0.3232594292
110	0.322818239
111	0.3224261552
112	0.3220485196
113	0.3215262009
114	0.3211655233
115	0.3207488105
116	0.3203819997
117	0.3199384399
118	0.3196445583
119	0.3192008928
120	0.3186561512
121	0.3185268061
122	0.318199789
123	0.3178115816
124	0.3175943117
125	0.3173746318
126	0.31705884
127	0.316602396
128	0.3161940318
129	0.315780277
130	0.3151900501
131	0.3150685211
132	0.314677384
133	0.3144067694
134	0.3141476443
135	0.3135584506
136	0.3130937292
137	0.3127289525
138	0.3119869125
139	0.3117633797
140	0.3115618676
141	0.3112719582
142	0.3110450303
143	0.3108280361
144	0.3105887253
145	0.3100513213
146	0.309877126
147	0.3094788924
148	0.3091382883
149	0.30892176
150	0.3086877333
151	0.3085147174
152	0.3079707096
153	0.3076027853
154	0.3071734853
155	0.3068763504
156	0.3066064178
157	0.3063503599
158	0.3061321837
159	0.3059927141
160	0.3056412342
161	0.3051976502
162	0.3048557709
163	0.3046511471
164	0.3042420766
165	0.3039734044
166	0.3034447392
167	0.3031331384
168	0.3028428255
169	0.3026094269
170	0.30242721
171	0.3020828304
172	0.3017024683
173	0.3011033569
174	0.30095463
175	0.3006928456
176	0.3000743999
177	0.2998301215
178	0.2994411879
179	0.299176012
180	0.2988351087
181	0.2986458134
182	0.2983284468
183	0.2981482969
184	0.2979713675
185	0.2974875772
186	0.2973218065
187	0.2970272013
188	0.296718179
189	0.2964417638
190	0.2962486091
191	0.2960882383
192	0.2959425271
193	0.2956947326
194	0.2955820701
195	0.29529994
196	0.2951311398
197	0.2949507746
198	0.294721081
199	0.2944516243
200	0.2941970695
201	0.2939833386
202	0.2937815853
203	0.2936421138
204	0.2934213471
205	0.2931127265
206	0.2929196094
207	0.2926856919
208	0.2924821078
209	0.2922359052
210	0.2919270505
211	0.2917383529
212	0.2915644737
213	0.2914494144
214	0.2911498473
215	0.2909415422
216	0.2906634079
217	0.2904027123
218	0.2901850484
219	0.2898784902
220	0.2896587478
221	0.2894445112
222	0.2891678206
223	0.2888589549
224	0.2885233649
225	0.2883792578
226	0.2879775095
227	0.2877600379
228	0.2876450547
229	0.2875117062
230	0.2873568859
231	0.2872604009
232	0.2870755891
233	0.2869262691
234	0.2866918211
235	0.2864155847
236	0.2860842705
237	0.2857294882
238	0.285441767
239	0.2852503844
240	0.285008451
241	0.2848728309
242	0.2845755094
243	0.2844696698
244	0.2841963789
245	0.2840618545
246	0.2839209993
247	0.2838047977
248	0.283602204
249	0.2831952753
250	0.2829425114
251	0.2828058951
252	0.2825129991
253	0.2822263515
254	0.2820912521
255	0.2819758564
256	0.2817443853
257	0.2815025063
258	0.2813321877
259	0.2811147358
260	0.2808857043
261	0.280646842
262	0.2804955945
263	0.2802644431
264	0.2798831036
265	0.2797134889
266	0.2795349281
267	0.2792447603
268	0.2789949856
269	0.2788167029
270	0.2786609474
271	0.2783692151
272	0.2781530057
273	0.2778711975
274	0.2775733962
275	0.2773308536
276	0.2770500697
277	0.276794544
278	0.2765409855
279	0.2762009323
280	0.2759735619
281	0.2757708754
282	0.2755612061
283	0.2752966099
284	0.2750826515
285	0.274894483
286	0.274695013
287	0.2744589349
288	0.2742384653
289	0.2740175316
290	0.2738011539
291	0.2735069458
292	0.2732758039
293	0.2730883867
294	0.2729243621
295	0.2725417766
296	0.2722722195
297	0.2720712629
298	0.2719411652
299	0.2716505871
300	0.2714268923
301	0.2710316147
302	0.2707616299
303	0.2705764949
304	0.2703444705
305	0.2700324393
306	0.2698519187
307	0.269622787
308	0.2693831438
309	0.26923441
310	0.269024841
311	0.2687538438
312	0.2685288591
313	0.2683081607
314	0.2681053491
315	0.2678787313
316	0.2676661847
317	0.2674110859
318	0.2672114929
319	0.2669986339
320	0.2668154175
321	0.2665751216
322	0.2662958425
323	0.2661215904
324	0.2659481696
325	0.2657366859
326	0.2653856745
327	0.2651082071
328	0.2649068585
329	0.2647499583
330	0.2644865932
331	0.2642288477
332	0.2640406707
333	0.2638683398
334	0.2636764193
335	0.2634067124
336	0.2631447844
337	0.2630093905
338	0.2628423357
339	0.2626517027
340	0.2625068191
341	0.2622511317
342	0.2619863115
343	0.2618007559
344	0.2615843093
345	0.261289119
346	0.261070798
347	0.2607683434
348	0.2605680827
349	0.260283992
350	0.2601071931
351	0.2598109882
352	0.2595026683
353	0.2592688279
354	0.2591101835
355	0.2589579108
356	0.2587387318
357	0.2584695763
358	0.2582827306
359	0.2580325449
360	0.2577729535
361	0.2575723993
362	0.2573911483
363	0.2571299402
364	0.2569631663
365	0.2568496068
366	0.2567439368
367	0.2565442973
368	0.2563104194
369	0.2561346707
370	0.2558828409
371	0.2557094762
372	0.2554874741
373	0.2553056445
374	0.2551206902
375	0.2549270678
376	0.2548285138
377	0.2546850265
378	0.2544954855
379	0.2543986598
380	0.2541986248
381	0.2539203702
382	0.2537260571
383	0.2536138776
384	0.2534033886
385	0.2532013083
386	0.2530254096
387	0.2527305051
388	0.2525464478
389	0.2523813121
390	0.2521918352
391	0.252081338
392	0.2518583025
393	0.2516772558
394	0.2514978442
395	0.2512325989
396	0.2509994681
397	0.2509110336
398	0.2508674385
399	0.2506850581
400	0.2504507478
401	0.2503193697
402	0.2500836514
403	0.2499084061
404	0.2497530585
405	0.2495433426
406	0.2493814728
407	0.2492213937
408	0.2489537015
409	0.2487721154
410	0.2486005577
411	0.2483819933
412	0.2480975758
413	0.2479340278
414	0.2477651174
415	0.2475604484
416	0.2473746132
417	0.24720397
418	0.2471626809
419	0.2469874853
420	0.2467537236
421	0.2467134783
422	0.2465061516
423	0.2463300813
424	0.2462316048
425	0.2460574029
426	0.245811521
427	0.2455316348
428	0.2454102281
429	0.2453141914
430	0.2451383981
431	0.244994928
432	0.2448055626
433	0.2445628364
434	0.2443678503
435	0.244183063
436	0.2440578542
437	0.2439034303
438	0.2436592459
439	0.2435455042
440	0.2433564987
441	0.2431248166
442	0.2429208618
443	0.2427271796
444	0.2425725647
445	0.2424060113
446	0.2422736279
447	0.2420562689
448	0.2420206654
449	0.2418260747
450	0.2416641177
451	0.2415687402
452	0.2414256164
453	0.2412658832
454	0.2411402606
455	0.240998321
456	0.2408837234
457	0.2407654331
458	0.2405371273
459	0.2403070686
460	0.2401667747
461	0.2399374991
462	0.2397642733
463	0.2396011708
464	0.2392980755
465	0.2391201141
466	0.2389572465
467	0.2388098055
468	0.2386475331
469	0.2384737608
470	0.23830705
471	0.2382328786
472	0.2380987492
473	0.2379018396
474	0.2377402001
475	0.2375691539
476	0.2374337118
477	0.2373450392
478	0.2371990179
479	0.2370300311
480	0.2369014545
481	0.2367102996
482	0.2365694784
483	0.2363683719
484	0.2361914441
485	0.2360147841
486	0.2358127018
487	0.2356938959
488	0.2355269009
489	0.2353152449
490	0.2351043074
491	0.2349625619
492	0.2347828816
493	0.2345980658
494	0.2344928054
495	0.2343678055
496	0.2342361876
497	0.2340852698
498	0.2339524115
499	0.2337854519
