iter	Passed	Remaining
0	6	3299
1	12	3202
2	19	3196
3	25	3167
4	32	3182
5	38	3129
6	42	3001
7	46	2861
8	50	2748
9	53	2630
10	58	2611
11	63	2572
12	66	2506
13	70	2439
14	73	2375
15	77	2350
16	81	2310
17	84	2275
18	90	2291
19	94	2272
20	98	2256
21	102	2228
22	106	2204
23	110	2185
24	113	2164
25	117	2138
26	121	2122
27	124	2095
28	127	2066
29	133	2087
30	137	2085
31	141	2068
32	144	2050
33	148	2035
34	151	2016
35	155	2002
36	158	1988
37	162	1973
38	165	1958
39	169	1944
40	172	1931
41	175	1919
42	179	1906
43	183	1903
44	187	1899
45	191	1887
46	194	1877
47	198	1868
48	202	1860
49	205	1851
50	209	1841
51	212	1830
52	216	1828
53	220	1820
54	223	1811
55	227	1801
56	230	1792
57	234	1785
58	237	1778
59	241	1770
60	244	1763
61	248	1754
62	251	1747
63	255	1741
64	259	1736
65	262	1729
66	266	1721
67	270	1715
68	273	1708
69	277	1704
70	280	1697
71	284	1692
72	288	1685
73	291	1678
74	296	1680
75	300	1674
76	303	1668
77	307	1663
78	311	1657
79	315	1655
80	318	1649
81	322	1643
82	325	1636
83	329	1631
84	333	1626
85	337	1623
86	341	1623
87	346	1622
88	356	1644
89	361	1647
90	365	1644
91	369	1637
92	373	1633
93	376	1628
94	380	1622
95	383	1615
96	387	1609
97	391	1603
98	396	1604
99	401	1604
100	404	1598
101	408	1592
102	412	1588
103	415	1582
104	419	1576
105	422	1572
106	426	1566
107	431	1565
108	435	1561
109	438	1555
110	442	1551
111	446	1546
112	450	1542
113	454	1538
114	458	1534
115	462	1530
116	465	1524
117	469	1518
118	472	1512
119	475	1507
120	479	1502
121	482	1496
122	486	1490
123	489	1485
124	493	1481
125	506	1504
126	524	1539
127	529	1539
128	535	1539
129	548	1560
130	552	1557
131	557	1552
132	562	1550
133	566	1548
134	570	1542
135	574	1538
136	580	1539
137	585	1534
138	589	1531
139	594	1529
140	599	1525
141	603	1521
142	608	1519
143	613	1515
144	621	1521
145	625	1516
146	631	1515
147	635	1512
148	640	1509
149	645	1505
150	655	1514
151	660	1511
152	665	1509
153	670	1505
154	674	1501
155	679	1498
156	683	1493
157	687	1488
158	691	1484
159	696	1479
160	700	1474
161	704	1470
162	710	1468
163	713	1461
164	717	1456
165	721	1451
166	726	1449
167	731	1446
168	736	1443
169	741	1439
170	746	1436
171	752	1434
172	755	1428
173	759	1422
174	762	1416
175	766	1410
176	769	1404
177	773	1399
178	776	1393
179	780	1386
180	783	1380
181	787	1375
182	791	1371
183	795	1365
184	798	1359
185	802	1354
186	806	1349
187	810	1344
188	813	1338
189	817	1333
190	820	1327
191	824	1322
192	827	1316
193	830	1310
194	834	1305
195	837	1299
196	841	1293
197	845	1289
198	849	1284
199	852	1279
200	856	1274
201	861	1270
202	864	1264
203	868	1260
204	871	1254
205	875	1249
206	879	1244
207	882	1238
208	885	1233
209	889	1228
210	892	1222
211	896	1217
212	899	1212
213	903	1207
214	907	1202
215	910	1197
216	914	1192
217	918	1187
218	921	1182
219	925	1177
220	928	1171
221	932	1167
222	935	1162
223	939	1157
224	942	1151
225	945	1146
226	949	1142
227	953	1137
228	957	1132
229	960	1128
230	964	1123
